Disease,Symptoms,Medical_System
Sinusitis,"headache,congestion",Homeopathy
Sore throat,"patches_in_throat,throat_irritation,cough",Homeopathy
Sore throat,"patches_in_throat,throat_irritation",Homeopathy
Sore throat,"cough,patches_in_throat",Homeopathy
Sore throat,"patches_in_throat,cough",Homeopathy
Sore throat,"throat_irritation,cough",Homeopathy
Nausea,"nausea,vomiting,stomach_pain",Homeopathy
Nausea,"vomiting,nausea",Homeopathy
Nausea,"nausea,stomach_pain",Homeopathy
Nausea,"stomach_pain,vomiting",Homeopathy
Nausea,"nausea,vomiting",Homeopathy
Vertigo,"dizziness,spinning_movements,loss_of_balance",Homeopathy
Vertigo,"loss_of_balance,dizziness",Homeopathy
Vertigo,"dizziness,loss_of_balance",Homeopathy
Vertigo,"spinning_movements,dizziness",Homeopathy
Vertigo,"dizziness,spinning_movements",Homeopathy
Vertigo,"loss_of_balance,spinning_movements",Homeopathy
Vertigo,"spinning_movements,loss_of_balance",Homeopathy
Headache,"headache,dizziness,fatigue",Homeopathy
Headache,"fatigue,dizziness",Homeopathy
Headache,"headache,dizziness",Homeopathy
Headache,"dizziness,fatigue",Homeopathy
Headache,"headache,fatigue",Homeopathy
Insomnia,"restlessness,anxiety,fatigue",Homeopathy
Insomnia,"anxiety,fatigue",Homeopathy
Insomnia,"restlessness,fatigue",Homeopathy
Insomnia,"restlessness,anxiety",Homeopathy
Insomnia,"anxiety,restlessness",Homeopathy
Stress,"anxiety,restlessness,lack_of_concentration",Homeopathy
Stress,"anxiety,lack_of_concentration",Homeopathy
Stress,"restlessness,anxiety",Homeopathy
Stress,"lack_of_concentration,restlessness",Homeopathy
Stress,"restlessness,lack_of_concentration",Homeopathy
Skin irritation,"itching,skin_rash,redness_of_eyes",Homeopathy
Skin irritation,"itching,skin_rash",Homeopathy
Skin irritation,"redness_of_eyes,itching",Homeopathy
Skin irritation,"skin_rash,redness_of_eyes",Homeopathy
Skin irritation,"itching,redness_of_eyes",Homeopathy
Muscle pain,"muscle_pain,muscle_weakness,fatigue",Homeopathy
Muscle pain,"muscle_weakness,muscle_pain",Homeopathy
Muscle pain,"fatigue,muscle_pain",Homeopathy
Muscle pain,"muscle_pain,fatigue",Homeopathy
Muscle pain,"muscle_pain,muscle_weakness",Homeopathy
